,Parameters,acc,f1
0,"('-0.15', True, True)",0.7447774750227066,0.7901418969380133
1,"('-0.15', True, False)",0.7293369663941871,0.7807211184694628
2,"('-0.15', False, True)",0.7443233424159855,0.7898469578200821
3,"('-0.15', False, False)",0.728882833787466,0.7804339830820154
4,"('-0.10', True, True)",0.7470481380563124,0.7911511061117361
5,"('-0.10', True, False)",0.7316076294277929,0.7816771333579607
6,"('-0.10', False, True)",0.7465940054495913,0.7908545727136431
7,"('-0.10', False, False)",0.7311534968210718,0.7813884785819794
8,"('-0.05', True, True)",0.7538601271571299,0.7954716981132075
9,"('-0.05', True, False)",0.7388737511353315,0.7863247863247863
10,"('-0.05', False, True)",0.7534059945504087,0.7951716333459072
11,"('-0.05', False, False)",0.7384196185286104,0.7860326894502229
12,"('0.00', True, True)",0.8215258855585831,0.8225733634311513
13,"('0.00', True, False)",0.8188010899182562,0.8162137263933672
14,"('0.00', False, True)",0.8224341507720254,0.8231569425599277
15,"('0.00', False, False)",0.8192552225249773,0.816420664206642
16,"('0.05', True, True)",0.8228882833787466,0.8235294117647058
17,"('0.05', True, False)",0.8201634877384196,0.8171745152354571
18,"('0.05', False, True)",0.8237965485921889,0.8241160471441523
19,"('0.05', False, False)",0.8206176203451407,0.8173832639852057
20,"('0.10', True, True)",0.8251589464123524,0.8246013667425968
21,"('0.10', True, False)",0.8224341507720254,0.8178854215183978
22,"('0.10', False, True)",0.8260672116257948,0.8251939753537197
23,"('0.10', False, False)",0.8228882833787466,0.8180970149253731
24,"('0.15', True, True)",0.8251589464123524,0.8239597622313671
25,"('0.15', True, False)",0.8215258855585831,0.8164409154600655
26,"('0.15', False, True)",0.8260672116257948,0.8245533669262484
27,"('0.15', False, False)",0.8219800181653043,0.8166510757717493
28,"('0.20', True, True)",0.8292461398728429,0.827364554637282
29,"('0.20', True, False)",0.8269754768392371,0.8208744710860367
30,"('0.20', False, True)",0.829700272479564,0.8275862068965517
31,"('0.20', False, False)",0.8269754768392371,0.8207058823529412
32,"('0.25', True, True)",0.8269754768392371,0.823201856148492
33,"('0.25', True, False)",0.8237965485921889,0.8154138915318745
34,"('0.25', False, True)",0.8274296094459582,0.8234200743494424
35,"('0.25', False, False)",0.8237965485921889,0.8152380952380953
